lsoacode,population_21
E01011333,1358
E01011334,1351
E01011335,1739
E01011336,1525
E01011337,1751
E01011338,2040
E01011339,2129
E01011340,1826
E01011341,2140
E01011342,1879
E01011343,2014
E01011344,2051
E01011345,1525
E01011346,1891
E01011347,1927
E01011348,1812
E01011349,1842
E01011350,1500
E01011351,1725
E01011352,1888
E01011353,1907
E01011354,1558
E01011355,1472
E01011356,2028
E01011357,2043
E01011358,1574
E01011359,1909
E01011360,2224
E01011361,2833
E01011362,1907
E01011363,1950
E01011364,2129
E01011366,1758
E01011368,1623
E01011369,1605
E01011370,1672
E01011371,1770
E01011372,1708
E01011373,1526
E01011374,1228
E01011375,2086
E01011376,1647
E01011377,1412
E01011378,1422
E01011379,1632
E01011380,1586
E01011381,1472
E01011382,1642
E01011383,1675
E01011384,1536
E01011385,1372
E01011386,1847
E01011388,1593
E01011390,1372
E01011391,1576
E01011392,1989
E01011393,2202
E01011394,1172
E01011395,1201
E01011396,1876
E01011397,1518
E01011398,1134
E01011399,1484
E01011400,1404
E01011401,1800
E01011402,2106
E01011403,1523
E01011404,1321
E01011405,1501
E01011406,1293
E01011407,1452
E01011408,1510
E01011409,1443
E01011410,1685
E01011411,1710
E01011412,1819
E01011413,1503
E01011414,1523
E01011415,1632
E01011416,1504
E01011417,1551
E01011418,1464
E01011419,1148
E01011420,1397
E01011421,1511
E01011422,1626
E01011423,1749
E01011424,1930
E01011425,1568
E01011426,1659
E01011427,2017
E01011428,2154
E01011429,2066
E01011430,1708
E01011431,2089
E01011432,1748
E01011433,1948
E01011434,1799
E01011435,1698
E01011440,1637
E01011441,1897
E01011442,1768
E01011443,1800
E01011444,1884
E01011445,1651
E01011446,1660
E01011447,1336
E01011448,1607
E01011449,1433
E01011450,1236
E01011451,1516
E01011452,1665
E01011453,1582
E01011454,1613
E01011455,1371
E01011456,2055
E01011457,1683
E01011458,2677
E01011459,1681
E01011460,1534
E01011461,1609
E01011462,1750
E01011463,1683
E01011464,1815
E01011465,1782
E01011466,1526
E01011467,1987
E01011468,2045
E01011469,1420
E01011470,1282
E01011471,1544
E01011472,1690
E01011473,1500
E01011474,1560
E01011475,1598
E01011476,1210
E01011477,1971
E01011478,1767
E01011479,1458
E01011480,1613
E01011481,1758
E01011482,1745
E01011483,1566
E01011484,1613
E01011485,1622
E01011488,1446
