LSOA11CD,alcohol_related,community,education,entertainment,financial,food_related,healthcare,leisure,other,parking_related,police_related,religion,residential,retail,transport,urban_utilities
E01001182,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0
E01001183,0,1,1,0,0,6,0,1,4,8,0,1,7,4,0,1
E01001184,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
E01001185,1,0,2,0,0,0,0,3,6,1,0,0,0,0,0,10
E01001186,0,0,3,0,0,0,3,0,5,7,0,1,0,0,0,2
E01001187,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
E01001188,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
E01001189,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
E01001190,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1
E01001191,0,1,0,0,0,0,0,1,9,4,0,1,0,3,0,4
E01001192,1,0,0,0,0,0,0,2,10,2,0,0,1,0,0,2
E01001193,0,0,0,0,0,0,0,2,1,0,0,0,5,1,0,0
E01001194,0,0,1,0,0,0,0,2,3,4,0,0,0,0,0,8
E01001195,0,0,0,0,0,2,0,2,12,7,0,0,2,0,0,32
E01001196,0,3,0,0,3,7,1,2,13,20,0,0,22,4,0,15
E01001197,0,2,3,0,1,1,0,4,19,3,0,0,39,4,0,32
E01001198,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0
E01001199,0,1,0,0,1,0,2,0,3,10,0,0,14,2,0,0
E01001200,2,0,0,1,1,8,0,1,19,12,0,0,0,4,0,7
E01001201,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
E01001202,3,0,1,0,5,25,1,1,48,22,0,2,11,11,0,31
E01001203,1,0,0,0,1,14,2,2,23,19,0,0,11,2,0,3
E01001204,0,0,0,0,0,0,0,0,3,2,0,1,5,0,0,0
E01001205,0,1,1,0,0,0,0,2,13,5,0,1,2,0,0,0
E01001206,0,1,2,0,0,0,0,3,4,5,0,0,9,0,0,0
E01001207,0,0,1,0,0,0,0,0,8,13,0,3,39,2,1,3
E01001208,1,1,1,0,0,0,0,2,15,9,0,0,3,0,0,6
E01001209,1,1,0,0,1,11,2,2,21,14,0,2,4,5,0,9
E01001210,0,1,0,0,0,0,0,3,6,18,0,0,7,1,0,6
E01001211,0,0,0,0,0,0,2,0,5,7,0,0,19,0,0,0
E01001212,0,0,0,0,0,0,0,1,5,1,0,1,17,0,0,3
E01001213,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
E01001214,0,0,1,0,0,0,1,2,16,9,0,0,0,2,0,1
E01001215,1,2,2,0,2,2,1,0,4,4,1,3,2,0,0,3
E01001216,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
E01001217,0,0,1,2,0,0,0,0,9,4,0,0,0,0,0,2
E01001218,0,1,0,0,0,0,0,1,3,3,0,1,12,0,0,2
